"","...1","player","season","team","possessions","id","ast_100","fga_100","fta_100","mid_100","rim_100","three_100","pps","ppp_100","three_pps","rim_pps","mid_pps","stl_100","blk_100","fls_100","oreb_100","dreb_100","tot_reb_100","assisted_percentage","ast_percentage","rim_rate","three_rate","mid_rate","perim_rate","clusters","Hybrid","Perimeter","Interior","clusters_Hybrid","all_around","three_level_scorer","off_ball_wing","in_and_out_facilitator","clusters_perimeter","perimeter_scorer","spotup_shooter","perimeter_playmaker","stretch_shooter","clusters_interior","interior_facilitator","rim_roller","slasher","rebounder"
"4434",2699,"BYRON SMITH","NCAA 2022/2023","Florida A&M Rattlers",833.7408,170861,2.23789867132944,16.2837269902687,3.81282329339873,4.73630505323435,3.78145458617206,5.35657701131036,0.788962859036657,16.2913491022769,0.762262483429076,0.843436055469954,0.651571366215626,1.64133308254347,0.158736479969539,6.12688752409247,0.922358381958624,3.89626145747832,5.15610412714935,0.35658404255946,0.0824324065516209,0.232222917298471,0.290861241782351,0.328952764592005,0.727449702182575,2,0.0925121654345406,0.882386039459662,0.0251017951057978,1,0.0838231654073871,0.00167476878890789,0.00350334920671708,0.00351088203152849,2,0.149055097325059,0.503039909638997,0.0162964854554708,0.213994547040135,4,0.000458957698618389,0.0060550498110015,0.00422244417905339,0.0143653434171245
"4435",2702,"CAMERON JONES","NCAA 2022/2023","South Carolina St. Bulldogs",1067.1744,147511,3.54601478608227,16.377366854946,4.28846554149928,4.5923761015858,5.72049679723358,3.91998244142075,0.831128083126965,17.4673407791705,0.86945564516129,0.879862288135593,0.591656757827982,1.27251060120359,0.235476034130868,6.20684510147238,1.57448126622775,5.44592060151061,7.32078447040379,0.374958074385048,0.114931012286374,0.349292828810632,0.280409918289086,0.239353644339774,0.598078062308398,2,0.290541629595452,0.681917911993867,0.0275404584106817,2,0.0668281017857792,0.119770576842128,0.0227882073080221,0.0811547436595222,1,0.390445280827709,0.0730773463287674,0.113180380806282,0.105214904031109,3,0.00455472107184585,0.00423826349969051,0.0158046812906042,0.00294279254854118
"4436",2704,"CHACE DAVIS","NCAA 2022/2023","UMES Hawks",963.3024,148372,1.7477018748232,14.9914450489155,2.23123522841763,3.09547035100583,4.77679120106075,4.86436932939188,0.907667565209455,15.7908588351075,0.925107150913603,0.90946641556811,0.72065649867374,1.13989183867101,0.0990350845334959,5.28815476297045,1.16028906942827,4.24050450540492,5.71662631506472,0.458675329653728,0.0596467615491182,0.318634473559726,0.206482453219528,0.324476347244709,0.624956454692062,2,0.0679330812561381,0.92294657988424,0.00912033885962242,3,0.00150831820174263,0.000255727666007629,0.0652957050261424,0.000873330362245501,2,0.0276440998079114,0.656310504534219,0.00539145400161903,0.233600521540491,4,5.27742789507931e-05,0.00227151648957911,0.000270927436837917,0.0065251206542546
"4437",2710,"CHRISTIAN SUTTON","NCAA 2022/2023","Coppin St. Eagles",190.5408,16842,1.30699264124254,12.6531687209419,2.73191744564154,2.28700048616777,3.56667709564658,3.14706789772429,0.845704863445693,13.7074553489925,0.789170506912443,0.90093935062283,0,1.12454333521303,0,7.20235672493479,0.83674278002016,4.14176502423361,5.4901042175931,0.318706282327264,0.0416046343111761,0.281880149890318,0.180745277061123,0.248717769211097,0.603735367947612,2,0.229638084100786,0.746687970136608,0.0236739457626062,3,0.0360212776988386,0.00505601358627038,0.175758909646775,0.0128018831689016,2,0.0387190816613276,0.571825160331122,0.00980039216128175,0.126343335982877,4,0.000306469264275368,0.00394580850941614,0.0012124610341717,0.018209206954743
"4438",2712,"CLEVELAND FRED","NCAA 2022/2023","N.C. Central Eagles",599.5008,23977,4.72883507673229,15.2655985065382,2.96309372764021,3.41324646804583,4.55803233331688,4.54405795401643,0.861498570432637,16.3010644867142,0.87741935483871,0.919104965804341,0.510307346326837,1.57155280600112,0,6.26892068326234,0.75086029030139,4.56828570195364,5.70437627764132,0.292517553834597,0.160907952873991,0.298581960698409,0.223590740093416,0.297666544293708,0.63580425981284,2,0.0257742231932286,0.970359251110965,0.00386652569580606,4,0.00330390030528066,0.00404699243510586,0.00260709027947712,0.0158162401733649,3,0.0172104349689118,0.00511114035118568,0.942695177082005,0.0053424987088629,1,0.00375584562132531,2.13658377636799e-05,6.88698273196147e-05,2.04444093974493e-05
"4439",2718,"DANA TATE","NCAA 2022/2023","Norfolk St. Spartans",1179.1488,5780,1.8473581087514,16.2727534238463,2.6420894576794,3.19919265806761,5.12078778077145,5.91568636785016,0.965885185353872,18.4712651437698,0.899945325314379,1.06390827517448,0.811051441492369,1.25350286674906,0.357888553733416,5.58277346611191,1.27193051653163,6.42572833792726,7.98299440790333,0.398886032193822,0.0598141017490571,0.314684776902438,0.196598115557965,0.363533214924847,0.64028465611704,2,0.0149736144180178,0.982683533853983,0.00234285172799955,3,0.00137787530326467,0.00015169044501599,0.012922808170031,0.000521240499706089,4,0.0357207351310169,0.39575738930926,0.00664928114626107,0.544556128267445,2,1.59575001368681e-05,0.00128943034385976,8.5792528109958e-05,0.000951671355892963
"4440",2721,"DARYL ANDERSON","NCAA 2022/2023","Norfolk St. Spartans",839.7312,22742,1.49239805193846,11.1687585752676,2.00744694945631,1.71487637585345,3.03107689334214,4.0210277607934,0.902145368360168,12.3894910722441,0.845374566782191,0.966437146892655,0.612460815047022,0.950462369595231,0.263724884361069,6.42399865648425,1.28865890415073,4.93885023048399,6.56392709514781,0.445892685829583,0.0449671733660939,0.27138888112903,0.153542254879689,0.360024593037372,0.654262181819053,2,0.000246888279038018,0.999709582665134,4.35290558275772e-05,3,2.03946349150126e-05,4.16513187065302e-06,0.000210008196649138,1.23203156032143e-05,2,0.0453509108779809,0.527060842014363,0.0107858287343531,0.416512001038437,4,4.702104408995e-07,1.80736085702117e-05,1.97799883974794e-06,2.30072379767181e-05
"4441",2724,"DEVIN BUTTS","NCAA 2022/2023","N.C. Central Eagles",435.3792,101694,1.29358255714295,15.0680972804491,2.28347629006516,2.85020457715937,3.2493861261983,5.91562447542575,0.876940670968784,15.8822801928007,0.881882124666505,0.951470874732125,0.421066810344828,1.07403833873917,0,6.02009802317355,0.699392400054958,4.46755537568588,5.5945662170691,0.399838887474355,0.041863275115607,0.215646744623449,0.189154909482667,0.392592665505372,0.729560721314747,2,0.0957620441622838,0.878014960215772,0.0262229956219437,3,0.00948107643224485,0.00184432180514798,0.0794270471169088,0.00500959880798219,2,0.0519918762848642,0.672393358682843,0.0133243908089791,0.140305334439086,4,0.000391548546582657,0.00413173180314825,0.00153004446084888,0.020169670811364
"4442",2726,"DIMINGUS STEVENS","NCAA 2022/2023","Florida A&M Rattlers",380.1216,149927,1.55221852156604,16.6225206509123,4.04227994021408,3.3079731006129,3.51364276887896,6.63057208599688,0.972063408492142,20.531441891765,1.03064516129032,0.975033326985336,0.580382106244175,1.04573571226145,0.0696230693912746,7.57454177665451,1.14403786682929,4.2913159853,5.8794236460363,0.44267417660082,0.0590611132606548,0.211378457134665,0.199005504043777,0.398890891775367,0.738805108841396,2,0.109589434422577,0.859218898561158,0.031191667016265,1,0.0789117011537709,0.00634691753172676,0.0155622484441413,0.00876856729293839,2,0.0298707950428192,0.619745392912825,0.00666490915842193,0.202937801447092,4,0.000232352197950736,0.00719228105301056,0.00104379605500237,0.0227232377103013
"4443",2728,"DONCHEVELL NUGENT","NCAA 2022/2023","UMES Hawks",789.0432,148375,2.99662840835603,14.6730003612844,3.36324397962422,1.87037140849276,4.63176830305796,5.70310678216928,0.885443304776459,16.2524293438553,0.841935483870968,0.957886823400766,0.47808908045977,2.22303038617032,0.054193870255331,7.25079098688919,1.16147648151677,5.61645810654916,7.12359387895499,0.440795923400077,0.104383312443955,0.315666066176838,0.127470276183449,0.388680340880879,0.620510056438339,2,0.0927082135189511,0.895448477452334,0.0118433090287146,4,0.0288044339442069,0.0051514954707737,0.00896512314120284,0.0497871609627676,1,0.760321291129479,0.050466987729197,0.0214577934509678,0.0632024051426902,3,0.00028029562944368,0.000824737202742544,0.010078820174998,0.000659456021530372
