"","player","season","team","possessions","id","ast_100","fga_100","fta_100","mid_100","rim_100","three_100","pps","ppp_100","three_pps","rim_pps","mid_pps","stl_100","blk_100","fls_100","oreb_100","dreb_100","tot_reb_100","assisted_percentage","ast_percentage","rim_rate","mid_rate","three_rate","perim_rate","clusters","Hybrid","Perimeter","Interior","clusters_Hybrid","off_ball_wing","all_around","three_level_scorer","in_and_out_facilitator","clusters_perimeter","stretch_shooter","perimeter_scorer","spotup_shooter","perimeter_playmaker","clusters_interior","rim_roller","interior_facilitator","rebounder","slasher"
"2817","KENNETH WOMACK","NCAA 2021/2022","Sacred Heart Pioneers",8.4096,95931,1.48231385734588,12.2581592365037,2.56864514376373,2.85608973485806,3.70674782213595,1.52635449522994,0.803757402491321,12.8066645862722,0,0,0,1.15074534594525,0,7.31072402398593,0.901678789198313,4.70193623981166,6.1957472221302,0.278728155382816,0.0473760698497828,0.302390248863597,0.232994993763246,0.124517430862261,0.541765382969631,1,0.99534935841935,0.00326417332555589,0.0013864682550941,1,0.976443565396055,0.014855554657529,0.00238911022840259,0.00166112813736368,3,2.07304879814088e-05,1.02537876498106e-05,0.00323101570935852,2.17334056614821e-06,1,0.00137236927450895,9.24651768068634e-07,8.81326603171256e-06,4.36106278537378e-06
"2818","KYNDALL DAVIS","NCAA 2021/2022","LIU Sharks",1332.096,114553,3.35970670738907,14.6584948668077,3.33007959810854,2.61048771874987,5.48072774649135,4.81741543949096,0.876425269645609,15.7459299892981,0.73963133640553,1.06980920314254,0.504,1.94469225719461,1.09989904483549,5.62825669637561,1.96200687167525,4.77643787864016,6.99900081430085,0.337916262661902,0.108315577086404,0.373894304721679,0.178087023427009,0.328643253162328,0.575421453526712,1,0.832524021510004,0.142504214283702,0.0249717642062942,2,0.127082881205975,0.336248680895307,0.17595532432464,0.193237135084082,2,0.0280339399669216,0.0858737361140495,0.0138119343981604,0.0147846038045703,4,0.00241634891490611,0.00258687986965263,0.00491245427703464,0.0150560811447008
"2819","MALIK EDMEAD","NCAA 2021/2022","Merrimack Warriors",1033.7664,134215,4.32909764030357,17.550285881123,4.14994978630025,4.58518582230742,6.99853327837946,3.96396487455122,0.921256181579948,19.8598876001296,0.93205574912892,1.00288065843621,0.640963855421687,2.56446692052802,0.0968277434134825,6.24750670134822,0.938210697131086,4.69169075265779,5.92809038426364,0.278497568306783,0.162431901847211,0.398770329200566,0.261259893620265,0.225863265214092,0.549866508122649,1,0.979202615113674,0.0154422636535723,0.00535512123275414,4,0.0144490029572623,0.0229468818372075,0.0445630819931084,0.897243648326095,4,0.000876757646192277,0.00415585698385961,0.000805053105218714,0.0096045959183017,2,0.000278705573667422,0.00333398794614676,0.000303613131796585,0.00143881458114338
"2820","MARLON HARGIS","NCAA 2021/2022","Saint Francis (PA) The Red Flash",923.8272,5636,2.11796207333139,14.6506231073272,3.87189591692395,2.59298946621142,6.06245159079776,3.87999771697959,0.896688396349413,16.9366593734419,0.877289377289377,0.938431938431939,0.594871794871795,0.867754485974491,0.102271212914986,6.64986511844171,2.37161647237279,5.51794025406241,8.2045092692858,0.426028224891157,0.0685128643110953,0.413801621022233,0.176988340169272,0.264834996338081,0.516374998904909,1,0.97822345003192,0.0122061199112101,0.00957043005686942,2,0.119232952040271,0.617545937968199,0.181435017977878,0.060009542045572,1,0.0104385227256143,0.000778096524755491,0.000809819981053635,0.000179680679786671,3,0.000632211328010242,0.000140076333302284,0.00819160566515257,0.000606536730404315
"2821","MATAS SPOKAS","NCAA 2021/2022","Sacred Heart Pioneers",84.3648,95930,1.73982202012881,11.7823412854653,2.84182138594931,2.84091678303942,3.63368523220681,1.60167370819067,0.796610169491526,12.5623071212145,0.621065375302663,0.927875243664717,0.36,1.07243393901172,0,7.26118866867648,0.92991298229589,4.74034018509418,6.22208912529434,0.259759932676614,0.0533606178174256,0.308400948858044,0.241116490704948,0.135938492137085,0.550079101229536,1,0.978607255372511,0.0159063412216824,0.00548640340580698,1,0.798790648998189,0.149587872226908,0.0182134620949672,0.0120152720524468,3,0.000382477918032411,0.000224130862402166,0.0152603254029174,3.94070383304447e-05,1,0.00526437486466105,1.3547580169019e-05,0.000131456778917329,7.70241820595852e-05
"2822","MATTHEW GONZALEZ","NCAA 2021/2022","St. Francis Brooklyn Terriers",8.5248,147932,1.48214970710779,12.1606740074738,2.37610515330337,2.85577345379001,3.70633733987908,1.62231323835418,0.808628659476117,12.8052463865903,0.631773399014778,0,0,1.05449014294907,0,7.11765889954441,0.805451167631255,4.70141555119405,6.09893333970521,0.278697289252245,0.0473708234621119,0.304780585155167,0.234836774017204,0.133406523138202,0.547147444294521,1,0.986017374497797,0.0101957739193317,0.00378685158287138,1,0.960193274125549,0.0193859141063936,0.00368614554396386,0.00275204072189019,3,0.000139357269358822,7.81723176786752e-05,0.00996136232221384,1.68820100803255e-05,1,0.00369971488100255,6.27772406661923e-06,5.17972458811195e-05,2.90617319210911e-05
"2823","MAX EGNER","NCAA 2021/2022","St. Francis Brooklyn Terriers",94.0032,147930,1.54726854339182,11.8591223422112,2.63983294451574,2.81659376581705,3.86906130503347,1.49913185258415,0.798975167520694,12.2770950023539,0.631773399014778,0.892639474917956,0.46,0.885594424713875,0.0888288396457807,7.28784954265091,1.18843788489208,4.9662414335828,6.70179063411291,0.299286927441989,0.049117916810042,0.326251909153681,0.237504402479406,0.126411703102865,0.527286251770882,1,0.996587813831333,0.00212686388035773,0.00128532228830953,1,0.888787811085907,0.0907461267559361,0.0102517312468843,0.00680214474260501,3,0.000169695018914452,5.29516890260913e-05,0.00189375407975851,1.04630926586716e-05,1,0.00114540006609341,6.2892828868118e-06,0.000101818625392953,3.18143139363505e-05
"2824","MICHAEL CUBBAGE","NCAA 2021/2022","St. Francis Brooklyn Terriers",1273.8048,27980,3.01091598941502,19.9302943957462,5.49619531881539,5.14877043568549,9.69639304851392,3.29102538701011,0.824144033762167,21.0885963568968,0.697802197802198,0.905476905476906,0.68411214953271,2.64446019530626,0.346986965059912,6.1609154481602,1.75137178944772,7.19598852385452,9.21450397931234,0.205861077522773,0.108020590612986,0.48651529455498,0.258338905258942,0.165126782457992,0.465356634882285,1,0.717279716896182,0.0769916622437339,0.205728620860084,3,0.0112407997801569,0.0232089875697411,0.658105107724253,0.0247248218220304,2,0.0149090412504019,0.0511989157137244,0.00700398294423282,0.0038797223353749,4,0.0185979382594055,0.0102906653360413,0.0395601105372816,0.137279906727356
"2825","MIKEY WATKINS","NCAA 2021/2022","Merrimack Warriors",1471.104,26203,6.04981736503436,16.0418523580736,2.62572267017107,2.98490771505529,7.65349495949773,3.7507725245947,0.869144838212635,16.4296233908635,0.826984126984127,0.962636645456029,0.495238095238095,2.27618174673765,0.119862814036737,5.31566538214709,1.09390657350826,5.03056179685988,6.37055324605047,0.236329564820889,0.206857750800166,0.477095461837103,0.186070015384043,0.233811684640459,0.468107459004944,1,0.738048443263804,0.0749615461787886,0.186990010557407,4,0.0870175165455126,0.102412950820565,0.106405940937596,0.442212034960131,4,0.00304097705109764,0.00643138336036855,0.00272038184340893,0.0627688039239135,2,0.00677084168690666,0.156637000104225,0.00756841303311555,0.0160137557331598
"2826","MYLES THOMPSON","NCAA 2021/2022","Saint Francis (PA) The Red Flash",844.0704,7187,1.8881551887481,17.4592428879941,3.2368749263965,3.28964648534961,7.81289046001356,4.15158779886958,0.900064832823933,18.776281281275,0.91296518607443,0.947903947903948,0.544,1.01126943634269,0.106619599828153,5.38662115282454,1.72611611453595,5.21945508979973,7.273914959401,0.405642310860583,0.0635065947637791,0.447493084902674,0.188418621955923,0.237787390066291,0.487817846581631,1,0.865621946872983,0.0528314134524937,0.0815466396745237,2,0.0206604861936669,0.836189816463602,0.00585609610011764,0.00291554811559593,1,0.0460898877054097,0.00184137583416984,0.00458349962284107,0.000316650290073064,3,0.0071024848742048,0.00048818197408168,0.0711157316333253,0.00284024119291194
